status,path,sha256
M,.gitignore,e935abed0c686b4fd2cf9b6f016db99a9bd02ee2e17faee0c6b5197515942fd3
A,ci_reports/R1_DEPENDENCY_MATRIX.csv,4f2863708012e5cbea494752d1c88ad0ce093c64161e6d81047d8ee354c2aaa6
A,ci_reports/R1_DIFF_SUMMARY.md,6c4bf878d8a10a574361694dfab17712949e5f09a06052e0ea6794453174d5ef
A,ci_reports/R1_IMPLEMENTATION_REPORT.md,ea3a168fc824fe586f7f667c73611d6c2370397b78f0aa84e393582e8d3294a2
A,ci_reports/R1_INSTALL_MATRIX.csv,91cedb4f800d276d042e78d4a73fdfdf2e3a2dafc782a76d8eef2a9765488f6f
A,ci_reports/R1_JUNIT.xml,1f23885956000af22d7cb5614b621903131dcc985b82a49b72ba2a392af5461c
A,ci_reports/R1_PATH_AUDIT.md,5ce53f457029a113d2c4e9bc67c76954d2d408a2546215bd226916373b7e1ff4
A,ci_reports/R1_TEST_REPORT.md,ac2901b2de119f42a8189b29b8842519f72950e95580312e1692bcfb4a1f2cc9
A,ci_reports/R2_AUTHORIZATION_SCHEMA.md,3938926c5fa9684f56f0342ec1b50b801e058df1c06285dd60b2e53b0ff9f1dd
A,ci_reports/R2_DIFF_SUMMARY.md,6a3bba56cb26fc5d23566ce06eab3ce64cf558d9418b26af0ca9beab72181160
A,ci_reports/R2_JUNIT.xml,76ab228908c9db60ed3d4403f263cab45c185a0c110aa7d88f47e395d29a96cc
A,ci_reports/R2_MIGRATION_REPORT.md,77f13e19cb1c3def27396f29c19ddd9aaf53088f2a4fb5572e6bcc5ea1d1bc06
A,ci_reports/R2_MODE_MIGRATION_MATRIX.csv,944d0f348a1aaf4e1d780af202cd4b03524b6ada815818b04e8adf8037293761
A,ci_reports/R2_PLAN_SCHEMA.md,94c333f10adfa244e8698c7ef5a7a8c3944c97955acaddced2048608956fdd67
A,ci_reports/R2_ROLLBACK.md,71d48326149217169354c9c49b6b61da64c11405d4b8d0a691a2d00fa5329e25
A,ci_reports/R2_STATE_MODEL.md,1a689335f90b25d05a4faeb77871395cf370f89e64cd7d55863c39d9369eda4e
A,ci_reports/R2_STATE_TRANSITION_MATRIX.csv,80822fb8efa220c97b00e9110f6714cc62190b2237e08cb59e2d8e41d3737ab2
A,ci_reports/R2_TEST_REPORT.md,3e2ba99499a966ee3c54680635a9fbc0ab1e706203bc3b1a35faf4dd89afe2ef
A,ci_reports/R3_0_DIFF_SUMMARY.md,fce601810ef8016dd8594972ff2b56c3e6bb159ecd117b1e0de1a3433a143798
A,ci_reports/R3_0_IMPLEMENTATION_REPORT.md,fe76ccb2b3a6b31880fb9636840cebb97cf5bed7647ac9fc927d14e857f29fe0
A,ci_reports/R3_0_JUNIT.xml,2d790ab4bd3c2262c507d90f391fbb4a8476a3140d0092b4404be112bbe2f021
A,ci_reports/R3_0_ROLLBACK.md,f2cb0f08c07683b6381853c21c9361723091b6c0bbeb2d5a5b9cd1b2bc0842cc
A,ci_reports/R3_0_TEST_REPORT.md,22454d63caa3b3876e5119ef7275c69ed780faed010852e6d93283d37eabae19
A,ci_reports/R3_FULL_JUNIT.xml,fce1a727cbfe6b8cc6c2648cdc06b3afb0c3b04a5503f3cbbe8fd11ea652c4ba
A,ci_reports/R3_PROGRESS_REPORT.md,0e4615e74cad4598c246a8551fac9d6ebb83fc0d9079080a453d9b1a9362ae57
A,ci_reports/github_review/REVIEW_LARGE_FILES.csv,f4041afdf021c002b7f7a878c608ad659847aedcf626eeed14e4eed6d1c69b0b
A,ci_reports/github_review/REVIEW_PROHIBITED_FILES.csv,3735f201e056f7ce8ab18d52f698482c6644299aa3953a7885eedd83f828ca4a
A,ci_reports/github_review/REVIEW_SECRET_SCAN_REDACTED.md,d6a03ea127d48ba16ef3a9f73eb0f681653307afc63d70e95ec2f4bd151b9b8b
A,ci_reports/handoff.md,bcfac805e27cfbf36b46eb94591e332aba9da9b76ab26310f4a9eaf025d6ebaa
A,ci_reports/issue_ledger.csv,a0f0ff8f72c8fe7a6373b842a1311356be1b309cb81992cd96ff63657d211c71
A,ci_reports/review_state/SHA256SUMS.txt,0b807a25c8c4730d7327824fe06fa029f992a111c8c73748cf33e406f99a775b
A,ci_reports/review_state/issue_ledger_snapshot.csv,a15446b473f08e34408266bf2f2a9a4430c807e0549432a6c4ada0e590d4795a
A,ci_reports/review_state/refactor_state_snapshot.json,848abe8ee053eccd97f454ae30a4c5ea54126137f237a88167fb87e0793dddf4
A,ci_reports/review_state/truth_matrix_snapshot.csv,e776b6497369667fe1c61fbca5540944693e59c4cb1479e4e717b75b0c5d3756
A,ci_reports/truth_matrix.csv,b3a5c85116b1980d86cee72b38f1fa6e78af6f0c866bf63c729678e9eafe37b8
A,docs/adr/ADR-001-single-state-authority.md,55796872a79cf1b4e3014e9674074074bd86e59c7c06ead72bdf21af5a9bfe61
